id_gravacao,especie_cientifico,tipo_canto,qualidade,latitude,longitude,autor,fundo
XC291975,Phylloscartes oustaleti,call,C,-22.4179,,Jerome Fischer,"Chiroxiphia caudata, Rhytipterna simplex"
XC211699,Phylloscartes oustaleti,call,C,-23.9832,,Fernando Igor de Godoy,
XC164542,Phylloscartes oustaleti,call,C,-24.2834,,Eduardo  Patrial,
XC118114,Phylloscartes oustaleti,song,C,-23.5759,,Rodrigo Dela Rosa de Souza,Pyriglena leucoptera
XC1162710,Hemitriccus obsoletus,song,A,-27.2292,,Miguel Angelo Biz,
XC705875,Hemitriccus obsoletus,call,A,-24.3335,,Fernando Igor de Godoy,
XC690737,Hemitriccus obsoletus,song,A,-24.2601,,JAYRSON ARAUJO DE OLIVEIRA,Thraupis sayaca
XC668726,Hemitriccus obsoletus,"call, song",A,-25.3334,,Luiz C.  Silva,
XC435502,Hemitriccus obsoletus,song,A,-24.2601,,JAYRSON ARAUJO DE OLIVEIRA,
XC325894,Hemitriccus obsoletus,song,A,-22.7167,,Jeremy Minns,Sittasomus griseicapillus
XC284209,Hemitriccus obsoletus,song,A,-25.3334,,Jeremy Minns,"Carpornis cucullata, Attila phoenicurus, Chiroxiphia caudata, Chamaeza campanisona, Procnias nudicollis, Thamnophilus caerulescens, Myiothlypis leucoblephara, Patagioenas plumbea, Vireo chivi, Phyllomyias griseocapilla"
XC284207,Hemitriccus obsoletus,song,A,-22.8667,,Jeremy Minns,
XC284206,Hemitriccus obsoletus,"call, song",A,-22.3667,,Jeremy Minns,
XC284203,Hemitriccus obsoletus,"song, wing sounds",A,-24.2667,,Jeremy Minns,"Carpornis cucullata, Trogon rufus, Chiroxiphia caudata, Sporophila frontalis, Cyclarhis gujanensis"
XC284199,Hemitriccus obsoletus,"call, song, wing sounds",A,-24.2667,,Jeremy Minns,"Carpornis cucullata, Chamaeza campanisona, Basileuterus culicivorus, Pyriglena leucoptera, Grallaria varia, Vireo chivi, Attila rufus"
XC284188,Hemitriccus obsoletus,"call, song, wing sounds",A,-24.2667,,Jeremy Minns,"Carpornis cucullata, Sporophila frontalis, Basileuterus culicivorus, Pyriglena leucoptera, Myiothlypis rivularis, Grallaria varia, Eleoscytalopus indigoticus, Anabazenops fuscus, Vireo chivi, Attila rufus"
XC284185,Hemitriccus obsoletus,"call, song",A,-24.2667,,Jeremy Minns,"Carpornis cucullata, Chiroxiphia caudata, Sporophila frontalis, Schiffornis virescens"
XC284184,Hemitriccus obsoletus,"call, song",A,-24.2667,,Jeremy Minns,"Carpornis cucullata, Chiroxiphia caudata, Sporophila frontalis, Schiffornis virescens, Cyclarhis gujanensis"
XC252830,Hemitriccus obsoletus,"song, wing beat",A,-29.4334,,Romulo Vitoria,
XC234938,Hemitriccus obsoletus,song,A,-22.3634,,Kassius Santos,
XC161748,Hemitriccus obsoletus,song,A,-24.2667,,Rodrigo Dela Rosa,"Carpornis cucullata, Attila phoenicurus, Tinamus solitarius, Saltator similis, Odontophorus capueira, Synallaxis ruficapilla, Turdus flavipes"
XC81589,Hemitriccus obsoletus,call,A,-24.2667,,Jeremy Minns,"Attila phoenicurus, Haplospiza unicolor"
XC81588,Hemitriccus obsoletus,call,A,-24.2667,,Jeremy Minns,"Carpornis cucullata, Chiroxiphia caudata, Schiffornis virescens"
XC81587,Hemitriccus obsoletus,call,A,-24.2667,,Jeremy Minns,"Carpornis cucullata, Batara cinerea, Turdus albicollis"
XC1006041,Hemitriccus obsoletus,"subsong, wing sound",B,-22.8199,,Dante Buzzetti,
XC1003288,Hemitriccus obsoletus,call,B,-22.3562,,Fabrício Grigolin,
XC996109,Hemitriccus obsoletus,"call, subsong",B,-22.7291,,Dante Buzzetti,
XC993155,Hemitriccus obsoletus,"call, song, subsong",B,-22.8199,,Dante Buzzetti,
XC993154,Hemitriccus obsoletus,subsong,B,-22.8199,,Dante Buzzetti,
XC993153,Hemitriccus obsoletus,"call, subsong",B,-22.8199,,Dante Buzzetti,
XC841563,Hemitriccus obsoletus,call,B,-22.8712,,GABRIEL LEITE,
XC841561,Hemitriccus obsoletus,call,B,-22.8712,,GABRIEL LEITE,
XC783070,Hemitriccus obsoletus,song,B,-22.6876,,Eric Vieira,
XC727629,Hemitriccus obsoletus,call,B,-22.4331,,Brian Cox,
XC502484,Hemitriccus obsoletus,call,B,-23.8586,,Luiz C.  Silva,
XC426077,Hemitriccus obsoletus,call,B,-26.7144,,Guilherme de Melo Becher,
XC284205,Hemitriccus obsoletus,song,B,-24.2667,,Jeremy Minns,"Carpornis cucullata, Vireo chivi"
XC284204,Hemitriccus obsoletus,"call, song",B,-24.2667,,Jeremy Minns,"Carpornis cucullata, Chiroxiphia caudata, Sporophila frontalis, Ramphotrigon megacephalum, Myiodynastes maculatus"
XC116148,Hemitriccus obsoletus,song,B,-22.894,,Rodrigo Dela Rosa de Souza,
XC81586,Hemitriccus obsoletus,call,B,-24.2667,,Jeremy Minns,"Carpornis cucullata, Biatas nigropectus"
XC15698,Hemitriccus obsoletus,song,B,-24.2759,,Nick Athanas,"Sittasomus griseicapillus, Carpornis cucullata, Chiroxiphia caudata, Saltator similis, Lipaugus lanioides"
XC284169,Hemitriccus obsoletus,song,C,-23.3248,,Jeremy Minns,"Veniliornis spilogaster, Xiphorhynchus fuscus, Myiodynastes maculatus, Cichlocolaptes leucophrus"
